follower_user_key,followed_user_key,action_date_key,network_action,is_active_follow
1378,375,20230117,Follow,1
335,780,20230418,Follow,1
480,1751,20231116,Follow,1
695,1195,20230926,Unfollow,0
578,574,20230601,Unfollow,0
374,1221,20230916,Follow,1
750,1523,20230108,Follow,1
801,869,20231202,Follow,1
1017,1511,20231129,Follow,1
1045,1867,20230408,Unfollow,0
1909,1738,20230820,Follow,1
1418,1964,20230409,Follow,1
1372,1572,20230516,Follow,1
1935,130,20230223,Unfollow,0
1545,1323,20230301,Follow,1
79,1196,20230321,Follow,1
990,1815,20231213,Follow,1
1032,1543,20230210,Follow,1
1295,1409,20230713,Follow,1
1645,25,20230517,Follow,1
88,1960,20230816,Unfollow,0
625,1921,20231226,Follow,1
1057,310,20230911,Follow,1
1218,1887,20231111,Follow,1
1022,1950,20230912,Follow,1
502,1642,20231215,Follow,1
1884,1397,20230430,Follow,1
217,956,20231228,Unfollow,0
745,1858,20231025,Follow,1
1016,1834,20230727,Unfollow,0
217,1150,20230104,Follow,1
314,1392,20231101,Unfollow,0
426,1842,20231112,Follow,1
1525,720,20230719,Unfollow,0
24,462,20231226,Follow,1
1472,1354,20230404,Follow,1
267,1605,20230104,Follow,1
662,1944,20230815,Follow,1
1795,261,20230826,Follow,1
732,138,20230302,Follow,1
1026,245,20230604,Follow,1
1781,1287,20230915,Follow,1
413,268,20230412,Follow,1
472,1719,20230724,Follow,1
1092,25,20230526,Follow,1
1423,1085,20230918,Follow,1
669,186,20231021,Follow,1
1404,1479,20231115,Follow,1
1531,432,20230914,Follow,1
571,262,20231129,Unfollow,0
980,1173,20230404,Unfollow,0
1035,1693,20230610,Follow,1
533,841,20230912,Follow,1
232,257,20231019,Unfollow,0
982,1745,20230317,Unfollow,0
169,1858,20230406,Follow,1
1839,1308,20230603,Follow,1
1470,1263,20230304,Unfollow,0
1528,881,20230627,Follow,1
1195,1508,20231102,Follow,1
1418,451,20230226,Follow,1
296,636,20230221,Follow,1
1124,1693,20230206,Follow,1
1948,1588,20230322,Follow,1
1279,1877,20231120,Follow,1
1140,334,20230411,Follow,1
1676,378,20230719,Unfollow,0
963,102,20230311,Follow,1
276,1043,20231227,Follow,1
1495,144,20231212,Follow,1
1224,1632,20230328,Follow,1
556,308,20230228,Follow,1
487,200,20231116,Follow,1
585,1726,20230628,Unfollow,0
202,54,20230930,Follow,1
1976,688,20230401,Follow,1
1579,1440,20230820,Follow,1
868,138,20230811,Unfollow,0
1441,1020,20230224,Follow,1
1115,1769,20230419,Follow,1
200,835,20231221,Follow,1
421,996,20230512,Unfollow,0
1451,1085,20230811,Follow,1
365,1739,20230507,Follow,1
326,236,20230908,Follow,1
386,1243,20230320,Follow,1
179,932,20230518,Follow,1
1197,532,20230725,Follow,1
1590,1153,20230623,Unfollow,0
1945,1049,20231114,Follow,1
209,1670,20230124,Follow,1
505,318,20230310,Unfollow,0
1652,1059,20230425,Follow,1
1983,1847,20231114,Follow,1
583,1345,20230529,Follow,1
122,285,20230612,Follow,1
1517,1642,20230721,Follow,1
1290,1222,20230825,Follow,1
1658,1284,20230301,Follow,1
776,1106,20230102,Unfollow,0
1377,1796,20230120,Follow,1
1764,58,20230313,Follow,1
1632,712,20230322,Follow,1
1696,549,20230611,Follow,1
114,1405,20230518,Follow,1
1978,464,20230414,Follow,1
459,1504,20230107,Follow,1
1898,359,20230226,Follow,1
519,1628,20230719,Follow,1
151,1976,20230410,Follow,1
656,623,20230130,Follow,1
332,589,20231011,Follow,1
1724,1898,20231201,Follow,1
1611,1326,20230614,Follow,1
1682,1662,20230318,Follow,1
95,1990,20231212,Unfollow,0
1437,391,20230426,Follow,1
1332,841,20231011,Unfollow,0
1865,1284,20230818,Follow,1
1523,400,20231024,Follow,1
1937,24,20230125,Follow,1
1320,8,20230130,Unfollow,0
1738,1326,20231118,Unfollow,0
190,1740,20230117,Follow,1
1410,1626,20231227,Follow,1
1272,522,20231227,Follow,1
1503,300,20230412,Follow,1
1096,1965,20230610,Follow,1
784,85,20231221,Follow,1
1432,1522,20230914,Follow,1
853,1581,20230708,Follow,1
315,1380,20230111,Follow,1
1259,1264,20231126,Follow,1
1126,681,20230320,Unfollow,0
1140,1605,20230930,Follow,1
1523,1593,20230907,Follow,1
63,1670,20230717,Follow,1
1023,1215,20230131,Unfollow,0
1568,1491,20230502,Follow,1
1554,1147,20230704,Follow,1
1900,1216,20230706,Follow,1
627,1938,20230426,Follow,1
667,1923,20230422,Follow,1
265,1830,20230719,Follow,1
621,1352,20231010,Follow,1
541,1540,20230515,Follow,1
288,625,20230218,Unfollow,0
1823,1007,20230312,Follow,1
1910,524,20230630,Follow,1
1438,1418,20230616,Unfollow,0
987,1673,20230925,Unfollow,0
1329,1047,20230407,Follow,1
1787,1304,20230717,Follow,1
1587,702,20230625,Unfollow,0
1327,976,20230209,Unfollow,0
1055,1465,20231019,Follow,1
629,1192,20230118,Follow,1
1839,1559,20230918,Follow,1
415,728,20230218,Unfollow,0
1426,680,20230611,Follow,1
82,1816,20230325,Follow,1
494,1131,20230505,Follow,1
351,1279,20230922,Follow,1
478,1887,20230329,Follow,1
1063,1957,20230227,Follow,1
1356,39,20231113,Follow,1
292,487,20230101,Follow,1
1049,339,20230114,Follow,1
1018,1930,20230531,Follow,1
1305,1104,20230409,Unfollow,0
1142,1175,20230421,Follow,1
658,140,20230503,Unfollow,0
82,1918,20230124,Follow,1
1805,587,20230222,Follow,1
826,352,20230814,Follow,1
589,288,20230624,Unfollow,0
1095,287,20231109,Unfollow,0
804,230,20230510,Follow,1
1755,1999,20231022,Unfollow,0
1777,965,20230216,Follow,1
1239,1121,20230611,Unfollow,0
1678,646,20230618,Follow,1
1275,1622,20230515,Follow,1
1064,1136,20230822,Follow,1
459,1714,20230209,Follow,1
370,1263,20231004,Follow,1
129,1459,20231207,Follow,1
1100,1275,20230706,Follow,1
980,797,20230208,Follow,1
544,1741,20231211,Follow,1
1221,1631,20231109,Follow,1
1623,579,20230122,Unfollow,0
67,1857,20231011,Unfollow,0
574,1468,20230708,Follow,1
910,1755,20230904,Follow,1
1232,659,20230519,Follow,1
857,1388,20230327,Follow,1
522,582,20230131,Unfollow,0
998,1959,20230829,Unfollow,0
551,750,20230106,Follow,1
1371,1635,20231023,Follow,1
1773,1599,20230911,Follow,1
1762,1805,20230915,Follow,1
1168,610,20230918,Follow,1
1519,1890,20230629,Follow,1
195,381,20231111,Follow,1
42,1343,20231015,Follow,1
520,1323,20230514,Follow,1
284,1981,20230716,Unfollow,0
835,633,20230718,Unfollow,0
975,1981,20230714,Follow,1
172,1543,20230624,Unfollow,0
836,637,20230611,Follow,1
84,1889,20230324,Follow,1
707,527,20230904,Follow,1
617,549,20230118,Follow,1
61,1276,20230911,Follow,1
745,1521,20231205,Follow,1
1565,1647,20230219,Unfollow,0
1043,790,20230709,Unfollow,0
1489,62,20230929,Follow,1
1570,1288,20230717,Unfollow,0
1288,638,20230731,Follow,1
725,1972,20230730,Follow,1
1832,443,20230212,Unfollow,0
1785,1581,20231220,Follow,1
1308,1449,20230330,Follow,1
685,177,20230104,Follow,1
1006,1767,20230714,Follow,1
913,1790,20231023,Unfollow,0
75,1540,20230731,Follow,1
1883,215,20230610,Follow,1
1548,736,20230927,Follow,1
1387,583,20230408,Follow,1
1109,1519,20230108,Follow,1
873,1325,20230914,Follow,1
1631,1301,20230830,Unfollow,0
567,1643,20231216,Follow,1
343,1644,20230705,Follow,1
1004,1763,20230316,Unfollow,0
1131,1753,20231117,Follow,1
201,236,20231112,Follow,1
852,1,20230225,Unfollow,0
395,1102,20230331,Follow,1
472,1431,20231118,Follow,1
259,207,20230316,Follow,1
835,1983,20231114,Unfollow,0
327,938,20231204,Follow,1
793,25,20230806,Follow,1
648,819,20230730,Follow,1
109,1953,20230606,Follow,1
1305,488,20230307,Follow,1
230,1382,20230216,Follow,1
1287,325,20231116,Follow,1
1728,692,20230127,Follow,1
1041,399,20230514,Unfollow,0
1404,1012,20230331,Follow,1
1960,931,20231024,Follow,1
418,668,20230308,Unfollow,0
1828,158,20231021,Follow,1
1200,1565,20230523,Follow,1
1398,183,20231021,Follow,1
1761,195,20230204,Follow,1
407,1653,20230526,Unfollow,0
42,49,20230825,Follow,1
1472,812,20230911,Follow,1
203,1785,20230610,Follow,1
782,298,20231026,Unfollow,0
1319,611,20231013,Follow,1
1342,1491,20231002,Follow,1
1544,282,20231116,Follow,1
756,234,20231116,Follow,1
1018,647,20231214,Follow,1
1684,57,20230504,Follow,1
1617,1341,20231104,Unfollow,0
469,537,20230601,Follow,1
1874,1229,20230824,Follow,1
317,781,20230214,Follow,1
1642,1243,20230622,Follow,1
1221,381,20230330,Follow,1
479,1044,20230611,Follow,1
1213,653,20230516,Follow,1
1857,1852,20230223,Follow,1
1305,1876,20230702,Follow,1
850,286,20230905,Follow,1
1643,184,20231020,Follow,1
5,1184,20230819,Unfollow,0
1282,386,20230113,Follow,1
1818,1833,20230126,Follow,1
1952,1334,20231122,Follow,1
1845,700,20230609,Unfollow,0
1283,398,20230222,Unfollow,0
1520,1186,20231016,Follow,1
1483,1042,20230221,Follow,1
1598,957,20230721,Follow,1
1387,1370,20231216,Unfollow,0
1378,720,20230131,Follow,1
1606,1391,20231005,Unfollow,0
921,1374,20230811,Follow,1
28,651,20231219,Follow,1
1737,1063,20230116,Follow,1
19,610,20230811,Follow,1
120,172,20230116,Follow,1
1033,426,20230319,Follow,1
95,242,20230608,Follow,1
1992,399,20231022,Unfollow,0
988,171,20230301,Follow,1
1282,247,20231213,Follow,1
1756,1630,20230417,Follow,1
1357,492,20231010,Follow,1
1064,813,20231128,Follow,1
25,327,20231018,Follow,1
615,1038,20230114,Follow,1
1966,112,20230730,Follow,1
1554,478,20231126,Follow,1
501,277,20230730,Follow,1
1724,1045,20231220,Unfollow,0
1735,576,20230910,Unfollow,0
1534,682,20231118,Follow,1
679,1564,20230217,Follow,1
1798,128,20230116,Follow,1
1932,1553,20230204,Follow,1
1937,328,20230811,Follow,1
1848,164,20230220,Unfollow,0
1458,519,20231129,Follow,1
1153,959,20230627,Follow,1
1793,637,20230221,Unfollow,0
1929,1141,20230419,Unfollow,0
839,8,20230902,Follow,1
297,471,20230402,Follow,1
481,417,20230814,Unfollow,0
1655,1842,20230917,Unfollow,0
1177,958,20230416,Follow,1
711,1979,20231106,Follow,1
376,1589,20230317,Follow,1
1602,1757,20231022,Unfollow,0
1509,911,20230828,Follow,1
486,109,20230727,Follow,1
1450,1361,20230408,Follow,1
69,1324,20230928,Follow,1
1006,837,20230630,Follow,1
237,224,20230831,Unfollow,0
1660,83,20230819,Follow,1
322,1236,20231212,Unfollow,0
77,1806,20230120,Follow,1
364,683,20230601,Follow,1
496,720,20230304,Follow,1
510,1105,20230826,Follow,1
92,1448,20230902,Unfollow,0
765,1773,20230807,Follow,1
1767,489,20231227,Follow,1
1087,1273,20230618,Unfollow,0
790,1402,20230729,Follow,1
1294,1941,20230525,Follow,1
1956,1167,20230618,Follow,1
979,727,20230329,Follow,1
1180,584,20230806,Follow,1
855,182,20231202,Unfollow,0
1774,674,20230710,Unfollow,0
1911,800,20231109,Follow,1
1158,822,20230313,Follow,1
1073,586,20230524,Follow,1
639,1938,20230905,Unfollow,0
757,487,20230205,Follow,1
1605,1862,20230121,Follow,1
1668,1093,20230806,Follow,1
109,732,20230712,Follow,1
1083,226,20231207,Unfollow,0
1226,571,20230208,Follow,1
1293,1082,20230903,Follow,1
766,1192,20230104,Unfollow,0
1471,1693,20230816,Follow,1
348,511,20230406,Follow,1
38,714,20230801,Follow,1
551,617,20230318,Follow,1
741,1907,20230927,Follow,1
977,1631,20230608,Unfollow,0
985,537,20230822,Follow,1
759,997,20231014,Follow,1
607,1082,20230112,Follow,1
1128,1154,20230124,Unfollow,0
1390,1270,20231027,Follow,1
176,1248,20231118,Follow,1
165,540,20230828,Follow,1
1727,728,20230515,Unfollow,0
1800,1880,20230407,Follow,1
1617,458,20230624,Follow,1
512,309,20231210,Unfollow,0
863,1918,20230515,Follow,1
1211,1505,20230121,Follow,1
1637,966,20230806,Unfollow,0
796,956,20230519,Follow,1
451,706,20231021,Follow,1
1506,1059,20230130,Unfollow,0
1616,252,20231207,Follow,1
1068,226,20230221,Unfollow,0
770,1441,20230422,Unfollow,0
1957,1953,20230819,Follow,1
1539,679,20230105,Unfollow,0
1075,810,20230913,Unfollow,0
808,1962,20230924,Unfollow,0
1914,1839,20231218,Follow,1
283,1731,20231025,Follow,1
1813,795,20230624,Unfollow,0
1605,1700,20230120,Follow,1
853,627,20230713,Follow,1
102,767,20230411,Follow,1
1702,1696,20230602,Unfollow,0
991,1694,20230908,Follow,1
79,1834,20230517,Follow,1
272,1258,20230831,Follow,1
1641,49,20231018,Follow,1
152,227,20230121,Follow,1
1776,221,20230915,Follow,1
1882,1012,20230102,Follow,1
415,1900,20230111,Follow,1
1475,146,20230417,Follow,1
48,1509,20230406,Follow,1
320,912,20230928,Follow,1
459,1069,20231025,Follow,1
1334,1323,20230702,Follow,1
1138,1305,20230324,Follow,1
1813,1462,20230413,Follow,1
241,876,20230317,Follow,1
1014,1379,20230525,Follow,1
644,1481,20230820,Unfollow,0
330,1625,20231112,Follow,1
1955,1443,20230213,Follow,1
8,138,20230915,Follow,1
786,1853,20230201,Unfollow,0
766,767,20230714,Unfollow,0
687,419,20230418,Follow,1
1180,1802,20230702,Unfollow,0
1691,683,20230102,Follow,1
1786,777,20230823,Follow,1
1887,672,20230522,Unfollow,0
262,1183,20231022,Follow,1
477,610,20230412,Follow,1
225,1604,20231006,Follow,1
1796,788,20230627,Follow,1
116,437,20231217,Follow,1
776,1014,20230527,Follow,1
215,285,20231220,Follow,1
1947,1578,20230508,Follow,1
400,1178,20230225,Unfollow,0
1648,1465,20231009,Follow,1
692,1301,20230912,Follow,1
1963,1778,20231001,Follow,1
1586,137,20230713,Unfollow,0
403,156,20230709,Unfollow,0
190,207,20230113,Follow,1
1526,762,20230526,Follow,1
33,740,20230724,Follow,1
1052,1784,20230517,Follow,1
469,1545,20231122,Follow,1
184,747,20230120,Unfollow,0
1895,175,20230630,Follow,1
115,1289,20230408,Follow,1
1010,1322,20231007,Follow,1
1510,516,20230123,Follow,1
397,1391,20230502,Follow,1
259,1126,20230215,Follow,1
1649,196,20230418,Follow,1
1486,445,20230301,Follow,1
580,872,20230722,Follow,1
870,798,20230724,Follow,1
130,642,20230929,Unfollow,0
413,1154,20230510,Follow,1
200,345,20230627,Follow,1
1163,227,20230506,Follow,1
1269,1665,20230514,Follow,1
407,1951,20231011,Follow,1
709,853,20230520,Follow,1
142,1913,20230522,Follow,1
576,144,20230208,Follow,1
574,943,20231116,Follow,1
775,1244,20231209,Follow,1
498,1633,20230808,Follow,1
517,462,20230417,Follow,1
1096,1485,20230401,Follow,1
1811,1100,20231005,Follow,1
733,979,20230507,Unfollow,0
580,1082,20230816,Unfollow,0
767,1697,20230927,Follow,1
1411,338,20230109,Follow,1
1929,1927,20230117,Follow,1
1691,1714,20230131,Unfollow,0
424,275,20231013,Follow,1
942,1867,20231017,Follow,1
1253,477,20230828,Unfollow,0
1784,186,20230101,Follow,1
215,1249,20230823,Unfollow,0
1575,349,20230713,Follow,1
1540,1578,20230921,Unfollow,0
1403,1810,20230113,Unfollow,0
979,1603,20231206,Follow,1
1021,549,20230403,Follow,1
235,885,20230717,Unfollow,0
1140,1448,20230430,Follow,1
1302,478,20231225,Unfollow,0
1389,4,20231212,Follow,1
756,1108,20230117,Unfollow,0
1344,1672,20230525,Follow,1
400,1743,20230912,Follow,1
1657,648,20230826,Follow,1
1336,1453,20230324,Follow,1
408,1196,20230901,Unfollow,0
289,874,20230519,Unfollow,0
983,362,20230205,Follow,1
1716,1004,20230412,Follow,1
687,1199,20231201,Follow,1
927,1041,20230927,Follow,1
662,1697,20231005,Follow,1
1358,1077,20230709,Follow,1
1414,158,20230702,Follow,1
1699,1919,20230808,Follow,1
1074,673,20230306,Follow,1
1083,854,20230525,Follow,1
540,505,20231209,Follow,1
343,1383,20230521,Follow,1
344,808,20230318,Follow,1
86,1180,20230430,Unfollow,0
83,1910,20231220,Unfollow,0
674,945,20230117,Follow,1
660,1852,20230216,Follow,1
792,121,20231011,Unfollow,0
667,1603,20230823,Follow,1
1868,187,20230731,Follow,1
612,1759,20230719,Follow,1
1295,486,20230529,Follow,1
211,1309,20230429,Follow,1
1538,187,20230612,Follow,1
1456,495,20231120,Follow,1
1254,1761,20230127,Unfollow,0
1957,41,20230503,Follow,1
508,634,20230727,Follow,1
1473,1442,20230805,Follow,1
591,200,20231211,Follow,1
218,1312,20230315,Follow,1
1833,1028,20231211,Follow,1
429,1158,20230723,Follow,1
1917,1534,20231201,Follow,1
1761,345,20230925,Follow,1
879,1460,20230427,Follow,1
905,823,20230830,Unfollow,0
259,1530,20230619,Unfollow,0
1661,1125,20230513,Follow,1
1108,824,20230212,Follow,1
1793,231,20231209,Unfollow,0
883,1727,20231011,Follow,1
542,980,20230514,Follow,1
1535,154,20230903,Follow,1
274,633,20230801,Follow,1
38,1241,20231103,Unfollow,0
1730,1878,20231111,Follow,1
340,1126,20230222,Follow,1
4,1910,20230908,Unfollow,0
1857,38,20230314,Follow,1
340,1645,20230528,Unfollow,0
1932,861,20230225,Follow,1
20,280,20231202,Follow,1
1656,1703,20230702,Follow,1
1661,426,20230228,Follow,1
1688,1304,20231110,Follow,1
1679,1275,20231122,Follow,1
1487,1898,20230418,Follow,1
424,493,20231017,Follow,1
1141,903,20230214,Unfollow,0
656,1733,20230224,Follow,1
953,1601,20231224,Follow,1
946,192,20230814,Follow,1
718,454,20230826,Follow,1
1344,413,20230711,Follow,1
1179,624,20231201,Follow,1
1564,1352,20230928,Follow,1
